[INFO ] 2021-10-10 23:08:54,978 [repositories/src_fake_news | c.o.t.m.MonitorRepositoryConnection] Incoming update:
[INFO ] 2021-10-10 23:20:08,910 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:10,746 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:12,633 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:14,486 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:16,406 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:18,937 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:21,218 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:23,454 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:25,645 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:28,207 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:30,462 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:32,976 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:35,091 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:36,824 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:39,043 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:40,413 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:42,424 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:44,056 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:45,994 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:47,696 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:50,019 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:51,544 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:53,577 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:55,411 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:57,477 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:20:59,710 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:21:01,347 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:21:03,375 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
